measurement,measurement_2,class
68125,25365,one
59271,32291,one
70208,31979,one
73594,33698,one
56562,28542,one
57292,109843,one
72448,31146,one
78125,38541,one
77864,40573,one
71042,30937,one
74166,39792,one
64011,32552,one
63645,31406,one
65052,30521,one
64375,38125,one
53854,30416,one
64062,30416,one
63073,29791,one
65208,27604,one
65677,36302,one
65989,31041,one
66667,36927,one
56979,30209,one
68750,31250,one
63802,30729,one
61302,27604,one
53593,31197,one
82084,51979,one
63646,47031,one
52396,30521,one
23281,32812,one
71041,391146,one
155625,150833,one
58646,31614,one
63281,23542,one
66771,27136,one
56667,29114,one
55104,37604,one
57187,31719,one
60521,35469,one
28906,95521,one
62656,35782,one
79532,39844,one
63385,31666,one
65885,30052,one
55521,32969,one
62761,29947,one
47448,21250,one
65729,38645,one
74479,41719,one
57813,31250,one
65156,30573,one
62916,31563,one
63177,32865,one
62031,30416,one
58646,24271,one
70833,27604,one
57656,37396,one
65208,35729,two
79479,44428,two
80157,38333,two
140989,52083,two
111980,71042,two
142812,46979,two
86458,56146,two
81198,38750,two
78437,42760,two
61042,44375,two
70729,37448,two
70677,39271,two
70833,37553,two
58229,34532,two
71198,43958,two
71146,47343,two
79062,38958,two
82188,47031,two
71771,38646,two
86355,44322,two
11615,38907,two
82813,48021,two
71406,43854,two
75886,31511,two
85000,47917,two
69479,215417,two
67604,31511,two
66511,38855,two
70417,38073,two
79948,39636,two
73490,30364,two
73750,42448,two
59427,28072,two
67865,40416,two
74166,39948,two
72083,37657,two
72865,40678,two
79584,37709,two
70000,41771,two
86094,39688,two
56979,33542,two
156666,45989,two
74739,23438,two
75781,37760,two
78855,36146,two
97188,63854,two
108229,49948,two
77500,38594,two
24375,37396,two
77447,44740,two
99843,59323,two
82239,46823,two
75782,47083,two
73125,43177,two
85625,47239,two
79896,53021,two
73178,38906,two
70938,36719,two
73750,43490,two
93646,54323,two
79740,37396,two
75833,43386,two
72083,40625,two
80208,49375,two
110469,61719,two
82917,48645,two
63073,37136,two
80938,45833,two
68854,36250,two
74896,49115,two
67292,35833,two
61927,36980,two
80782,37656,two
75156,50000,two
71354,38021,two
70625,37448,two
108438,66875,two
75052,39688,two
78490,45885,two
94323,55261,two
